Season,Team,W,L,OD_Salary,Current,AVG Salary,Median,Success_Score,LeagueID,DivisionID,Rank,Division_Win,Wildcard_Win,League_Win,WorldSeries_Win,Name
1990,CHC,77,85,14496000.0,14496000.0,426353,190000,47.53,NL,E,4,N,,N,N,Chicago Cubs
1990,CHW,94,68,9496238.0,9496238.0,287765,100000,58.02,AL,W,2,N,,N,N,Chicago White Sox
1990,CIN,91,71,14769500.0,14769500.0,399176,175000,56.17,NL,W,1,Y,,Y,Y,Cincinnati Reds
1990,CLE,77,85,15152000.0,15152000.0,388513,170000,47.53,AL,E,4,N,,N,N,Cleveland Indians
1990,DET,79,83,18092238.0,18092238.0,476112,155000,48.77,AL,E,3,N,,N,N,Detroit Tigers
1990,HOU,75,87,18830000.0,18830000.0,523056,240000,46.3,NL,W,4,N,,N,N,Houston Astros
1990,KCR,75,86,23873745.0,23873745.0,596844,300000,46.58,AL,W,6,N,,N,N,Kansas City Royals
1990,LAA,80,82,21870000.0,21870000.0,591081,410000,49.38,AL,W,4,N,,N,N,California Angels
1990,LAD,86,76,21618704.0,21618704.0,568913,321250,53.09,NL,W,2,N,,N,N,Los Angeles Dodgers
1990,MIL,74,88,20019167.0,20019167.0,500479,162500,45.68,AL,E,6,N,,N,N,Milwaukee Brewers
1990,MIN,74,88,15106000.0,15106000.0,368439,115000,45.68,AL,W,7,N,,N,N,Minnesota Twins
1990,NYM,91,71,22418834.0,22418834.0,574842,155000,56.17,NL,E,2,N,,N,N,New York Mets
1990,NYY,67,95,20991318.0,20991318.0,617392,437500,41.36,AL,E,7,N,,N,N,New York Yankees
1990,OAK,103,59,19987501.0,19987501.0,555208,272500,63.58,AL,W,1,Y,,Y,N,Oakland Athletics
1990,PHI,77,85,13953667.0,13953667.0,377126,150000,47.53,NL,E,4,N,,N,N,Philadelphia Phillies
1990,PIT,95,67,15656000.0,15656000.0,423135,350000,58.64,NL,E,1,Y,,N,N,Pittsburgh Pirates
1990,SDP,75,87,18588334.0,18588334.0,502387,195000,46.3,NL,W,4,N,,N,N,San Diego Padres
1990,SEA,77,85,12841667.0,12841667.0,347072,160000,47.53,AL,W,5,N,,N,N,Seattle Mariners
1990,SFG,85,77,20942333.0,20942333.0,523558,177500,52.47,NL,W,3,N,,N,N,San Francisco Giants
1990,STL,70,92,20923334.0,20923334.0,536496,125000,43.21,NL,E,6,N,,N,N,St. Louis Cardinals
1990,TEX,83,79,15104372.0,15104372.0,387292,140000,51.23,AL,W,3,N,,N,N,Texas Rangers
1990,TOR,86,76,18486834.0,18486834.0,474021,180000,53.09,AL,E,2,N,,N,N,Toronto Blue Jays
1990,WSN,85,77,16656388.0,16656388.0,489894,296250,52.47,NL,E,3,N,,N,N,Montreal Expos
1991,ATL,94,68,20423500.0,20423500.0,704259,400000,58.02,NL,W,1,Y,,Y,N,Atlanta Braves
1991,BAL,67,95,14627334.0,14627334.0,541753,250000,41.36,AL,E,6,N,,N,N,Baltimore Orioles
1991,BOS,84,78,32767500.0,32767500.0,1260288,775000,51.85,AL,E,2,N,,N,N,Boston Red Sox
1991,CHC,77,83,26923120.0,26923120.0,1035505,562500,48.12,NL,E,4,N,,N,N,Chicago Cubs
1991,CHW,87,75,16830437.0,16830437.0,561015,155000,53.7,AL,W,2,N,,N,N,Chicago White Sox
1991,CIN,74,88,25369166.0,25369166.0,939599,600000,45.68,NL,W,5,N,,N,N,Cincinnati Reds
1991,CLE,57,105,18270000.0,18270000.0,676667,345000,35.19,AL,E,7,N,,N,N,Cleveland Indians
1991,DET,84,78,23736334.0,23736334.0,912936,612500,51.85,AL,E,2,N,,N,N,Detroit Tigers
1991,HOU,65,97,11546000.0,11546000.0,427630,190000,40.12,NL,W,6,N,,N,N,Houston Astros
1991,KCR,82,80,28722662.0,28722662.0,1104718,600000,50.62,AL,W,6,N,,N,N,Kansas City Royals
1991,LAA,81,81,31782501.0,31782501.0,1095948,652500,50.0,AL,W,7,N,,N,N,California Angels
1991,LAD,93,69,33216664.0,33216664.0,1038021,650000,57.41,NL,W,2,N,,N,N,Los Angeles Dodgers
1991,MIL,83,79,24398000.0,24398000.0,903630,500000,51.23,AL,E,4,N,,N,N,Milwaukee Brewers
1991,MIN,95,67,22431000.0,22431000.0,897240,600000,58.64,AL,W,1,Y,,Y,Y,Minnesota Twins
1991,NYM,77,84,32590002.0,32590002.0,1253462,875000,47.83,NL,E,5,N,,N,N,New York Mets
1991,NYY,71,91,27815835.0,27815835.0,1030216,887500,43.83,AL,E,5,N,,N,N,New York Yankees
1991,OAK,84,78,33632500.0,33632500.0,1293558,900000,51.85,AL,W,4,N,,N,N,Oakland Athletics
1991,PHI,78,84,20298332.0,20298332.0,699942,250000,48.15,NL,E,3,N,,N,N,Philadelphia Phillies
1991,PIT,98,64,23064667.0,23064667.0,922587,766667,60.49,NL,E,1,Y,,N,N,Pittsburgh Pirates
1991,SDP,84,78,22585001.0,22585001.0,778793,260000,51.85,NL,W,3,N,,N,N,San Diego Padres
1991,SEA,83,79,16126834.0,16126834.0,575958,445000,51.23,AL,W,5,N,,N,N,Seattle Mariners
1991,SFG,75,87,30839333.0,30839333.0,1142198,600000,46.3,NL,W,4,N,,N,N,San Francisco Giants
1991,STL,84,78,21435001.0,21435001.0,793889,310000,51.85,NL,E,2,N,,N,N,St. Louis Cardinals
1991,TEX,85,77,22224500.0,22224500.0,740817,283750,52.47,AL,W,3,N,,N,N,Texas Rangers
1991,TOR,91,71,27538751.0,27538751.0,888347,700000,56.17,AL,E,1,Y,,N,N,Toronto Blue Jays
1991,WSN,71,90,20813500.0,20813500.0,671403,185000,44.1,NL,E,6,N,,N,N,Montreal Expos
1992,ATL,98,64,32975333.0,32975333.0,1063720,600000,60.49,NL,W,1,Y,,Y,N,Atlanta Braves
1992,BAL,89,73,20997667.0,20997667.0,699922,367500,54.94,AL,E,3,N,,N,N,Baltimore Orioles
1992,BOS,73,89,42203584.0,42203584.0,1563096,1400000,45.06,AL,E,7,N,,N,N,Boston Red Sox
1992,CHC,78,84,29060833.0,29060833.0,1076327,300000,48.15,NL,E,4,N,,N,N,Chicago Cubs
1992,CHW,86,76,28413500.0,28413500.0,1052352,339000,53.09,AL,W,3,N,,N,N,Chicago White Sox
1992,CIN,90,72,35203999.0,35203999.0,1257286,875000,55.56,NL,W,2,N,,N,N,Cincinnati Reds
1992,CLE,76,86,8236166.0,8237166.0,257411,172500,46.91,AL,E,4,N,,N,N,Cleveland Indians
1992,DET,75,87,28773834.0,28773834.0,992201,300000,46.3,AL,E,6,N,,N,N,Detroit Tigers
1992,HOU,81,81,13352000.0,13352000.0,460414,310000,50.0,NL,W,4,N,,N,N,Houston Astros
1992,KCR,72,90,33643834.0,33643834.0,1201566,612500,44.44,AL,W,5,N,,N,N,Kansas City Royals
1992,LAA,72,90,33529854.0,33529854.0,1156202,600000,44.44,AL,W,5,N,,N,N,California Angels
1992,LAD,63,99,43788166.0,43788166.0,1509937,1175000,38.89,NL,W,6,N,,N,N,Los Angeles Dodgers
