,Unnamed: 0,Season,Team,G_Bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR_Bat,W,L,SV,G_Pitch,GS,IP,K/9,BB/9,HR/9,BABIP_y,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR_Pitch,OD,Current,AVG Salary,Median,Success_Score
40,40,1989,MON,2185,6207,100,632,587,159,9.2%,15.4%,0.114,0.28,0.247,0.319,0.361,0.307,,95,2.3,-33.2,4.1,17.7,81,81,35,449,162,1468.1,6.49,3.18,0.74,0.2769999999999999,73.2%,,,,3.48,,3.51,,15.3,12305389.0,12305389.0,455755,320000,50.0
41,41,1989,NYM,2084,6131,147,683,633,158,8.2%,15.2%,0.139,0.27,0.246,0.311,0.385,0.312,,101,8.8,16.4,65.9,29.0,87,75,38,436,162,1454.1,6.86,3.29,0.71,0.265,73.8%,,,,3.3,,3.42,,16.7,20013212.0,20013212.0,769739,500000,53.7
42,42,1989,NYY,1733,6096,130,698,657,137,8.2%,13.6%,0.122,0.295,0.2689999999999999,0.331,0.391,0.326,,104,1.5,29.2,0.0,24.4,74,87,44,439,161,1414.2,5.01,3.31,0.95,0.3,69.3%,,,,4.54,,4.21,,7.5,20562985.0,20562985.0,663322,500000,45.96
43,43,1989,OAK,1751,6110,127,712,659,157,9.2%,14.0%,0.12,0.286,0.261,0.331,0.381,0.3229999999999999,,107,7.4,57.5,-1.4,27.4,99,63,57,479,162,1448.1,5.78,3.17,0.64,0.266,74.3%,,,,3.13,,3.52,,16.5,14602999.0,14602999.0,503552,375000,61.11
44,44,1989,PHI,2240,6128,123,629,594,106,9.1%,15.1%,0.12,0.27,0.243,0.314,0.364,0.306,,92,-0.7,-52.0,-48.8,10.1,67,95,33,511,163,1433.1,5.64,3.85,0.8,0.283,70.3%,,,,4.07,,4.01,,7.3,9640000.0,9640000.0,401667,227500,41.36
45,45,1989,PIT,2211,6261,95,637,584,155,9.0%,14.6%,0.118,0.27,0.241,0.311,0.359,0.3,,92,2.0,-51.5,63.5,21.8,74,88,40,489,164,1487.2,5.0,3.26,0.73,0.266,71.5%,,,,3.65,,3.85,,9.3,11993500.0,11993500.0,461288,380000,45.68
46,46,1989,SDP,2047,6120,120,642,598,136,9.0%,16.6%,0.118,0.286,0.251,0.319,0.369,0.309,,97,-1.2,-19.9,-40.1,14.4,89,73,52,407,162,1457.1,5.76,2.97,0.82,0.271,73.7%,,,,3.38,,3.7,,15.0,13094000.0,13094000.0,523760,370000,54.94
47,47,1989,SEA,1724,6134,134,694,653,81,8.0%,13.7%,0.126,0.2789999999999999,0.257,0.32,0.384,0.318,,96,-7.6,-38.2,-13.7,15.9,73,89,44,492,162,1438.0,5.61,3.5,0.71,0.286,69.5%,,,,4.01,,3.8,,16.7,9547500.0,9547500.0,329224,155000,45.06
48,48,1989,SFG,2315,6139,141,699,647,87,8.3%,17.4%,0.14,0.285,0.25,0.316,0.39,0.315,,105,-5.8,25.1,76.2,31.0,92,70,47,480,162,1457.0,4.95,2.91,0.74,0.26,73.8%,,,,3.3,,3.75,,10.1,14094000.0,14094000.0,563760,535000,56.79
49,49,1989,STL,2234,6141,73,632,587,155,8.3%,13.8%,0.105,0.292,0.258,0.321,0.363,0.309,,96,7.6,-22.9,115.5,29.7,86,76,43,521,164,1461.0,5.2,2.97,0.52,0.268,71.6%,,,,3.37,,3.41,,16.4,15555333.0,15555333.0,555548,453750,53.09
50,50,1989,TEX,1841,6099,122,695,654,101,8.2%,16.2%,0.132,0.299,0.263,0.326,0.3939999999999999,0.326,,102,-1.3,12.7,-21.5,20.5,83,79,44,483,162,1434.1,6.98,4.1,0.75,0.2739999999999999,69.8%,,,,3.92,,3.76,,17.0,10689500.0,10689500.0,395907,275000,51.23
51,51,1989,TOR,1722,6216,142,731,685,144,8.4%,14.8%,0.138,0.286,0.26,0.3229999999999999,0.3979999999999999,0.325,,102,3.8,20.2,-18.7,21.9,89,73,38,439,162,1466.2,5.21,2.93,0.61,0.2789999999999999,71.4%,,,,3.59,,3.55,,22.2,16009666.0,16009666.0,615756,433500,54.94
52,52,1990,ATL,2130,6084,162,682,636,92,7.8%,16.6%,0.146,0.278,0.25,0.311,0.396,0.317,,89,-5.5,-82.4,-24.0,11.2,65,97,30,508,162,1429.2,5.9,3.64,0.81,0.302,67.1%,,,,4.58,,3.93,,13.0,13328334.0,13328334.0,370232,125000,40.12
53,53,1990,BAL,1735,6223,132,669,623,94,10.6%,15.5%,0.125,0.275,0.245,0.33,0.37,0.317,,99,-3.8,-10.3,18.0,21.1,76,85,43,518,161,1435.1,4.87,3.37,1.01,0.276,73.3%,,,,4.07,,4.34,,7.4,10037084.0,10037084.0,257361,155000,47.2
54,54,1990,BOS,1694,6234,106,699,660,53,9.6%,12.8%,0.123,0.3,0.272,0.344,0.395,0.332,,102,-12.5,2.7,-55.0,15.2,88,74,44,485,162,1442.0,6.22,3.24,0.57,0.298,71.4%,,,,3.72,,3.43,,23.6,20983333.0,20983333.0,582870,282500,54.32
55,55,1990,CHC,2232,6149,136,690,649,151,6.6%,14.1%,0.129,0.288,0.263,0.314,0.392,0.314,,87,8.2,-86.2,-38.7,9.6,77,85,42,508,162,1442.2,5.47,3.57,0.75,0.294,68.8%,,,,4.34,,3.93,,13.1,14496000.0,14496000.0,426353,190000,47.53
56,56,1990,CHW,1768,6038,106,682,637,140,7.9%,15.0%,0.122,0.29,0.258,0.32,0.379,0.314,,94,-9.8,-49.7,45.3,19.1,94,68,68,529,162,1449.1,5.68,3.4,0.66,0.27,72.3%,,,,3.61,,3.71,,16.4,9496238.0,9496238.0,287765,100000,58.02
